year,fes_scenario,climate_member,weather_year_role,smr_case,annual_smr_energy_twh,annual_gas_displacement_twh,annual_surplus_energy_twh,surplus_hours_count,low_wind_hours_count,low_wind_support_hours,average_residual_before_mw,average_residual_after_mw,average_residual_reduction_mw,average_gas_displacement_proxy_mw
2030,Holistic Transition,member_13,high_wind,simultaneous_commissioning,0.0,0.0,70.66157150147895,4494,1856,0,-1787.5995869862988,-1787.5995869862988,0.0,0.0
2030,Holistic Transition,member_13,high_wind,staggered_commissioning,0.0,0.0,70.66157150147895,4494,1856,0,-1787.5995869862988,-1787.5995869862988,0.0,0.0
2030,Holistic Transition,member_13,low_wind,simultaneous_commissioning,0.0,0.0,70.26092806766758,4430,1833,0,-1787.599586986299,-1787.599586986299,0.0,0.0
2030,Holistic Transition,member_13,low_wind,staggered_commissioning,0.0,0.0,70.26092806766758,4430,1833,0,-1787.599586986299,-1787.599586986299,0.0,0.0
2031,Electric Engagement,member_06,average_wind,simultaneous_commissioning,0.0,0.0,89.87109849573216,4740,1842,0,-4220.862144063929,-4220.862144063929,0.0,0.0
2031,Electric Engagement,member_06,average_wind,staggered_commissioning,0.0,0.0,89.87109849573216,4740,1842,0,-4220.862144063929,-4220.862144063929,0.0,0.0
2031,Electric Engagement,member_06,high_wind,simultaneous_commissioning,0.0,0.0,91.45053990496224,4808,1556,0,-4220.862144063925,-4220.862144063925,0.0,0.0
2031,Electric Engagement,member_06,high_wind,staggered_commissioning,0.0,0.0,91.45053990496224,4808,1556,0,-4220.862144063925,-4220.862144063925,0.0,0.0
2031,Electric Engagement,member_06,low_wind,simultaneous_commissioning,0.0,0.0,90.90550541821943,4709,1375,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_06,low_wind,staggered_commissioning,0.0,0.0,90.90550541821943,4709,1375,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_12,average_wind,simultaneous_commissioning,0.0,0.0,89.24831656364667,4739,1842,0,-4220.862144063929,-4220.862144063929,0.0,0.0
2031,Electric Engagement,member_12,average_wind,staggered_commissioning,0.0,0.0,89.24831656364667,4739,1842,0,-4220.862144063929,-4220.862144063929,0.0,0.0
2031,Electric Engagement,member_12,high_wind,simultaneous_commissioning,0.0,0.0,90.95304700505538,4835,1556,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_12,high_wind,staggered_commissioning,0.0,0.0,90.95304700505538,4835,1556,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_12,low_wind,simultaneous_commissioning,0.0,0.0,91.91336176970243,4759,1375,0,-4220.862144063928,-4220.862144063928,0.0,0.0
2031,Electric Engagement,member_12,low_wind,staggered_commissioning,0.0,0.0,91.91336176970243,4759,1375,0,-4220.862144063928,-4220.862144063928,0.0,0.0
2031,Electric Engagement,member_13,average_wind,simultaneous_commissioning,0.0,0.0,90.657303090796,4760,1842,0,-4220.86214406393,-4220.86214406393,0.0,0.0
2031,Electric Engagement,member_13,average_wind,staggered_commissioning,0.0,0.0,90.657303090796,4760,1842,0,-4220.86214406393,-4220.86214406393,0.0,0.0
2031,Electric Engagement,member_13,high_wind,simultaneous_commissioning,0.0,0.0,90.84431732215953,4792,1556,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_13,high_wind,staggered_commissioning,0.0,0.0,90.84431732215953,4792,1556,0,-4220.862144063926,-4220.862144063926,0.0,0.0
2031,Electric Engagement,member_13,low_wind,simultaneous_commissioning,0.0,0.0,90.53001908312022,4741,1375,0,-4220.862144063928,-4220.862144063928,0.0,0.0
2031,Electric Engagement,member_13,low_wind,staggered_commissioning,0.0,0.0,90.53001908312022,4741,1375,0,-4220.862144063928,-4220.862144063928,0.0,0.0
2031,Holistic Transition,member_06,average_wind,simultaneous_commissioning,0.0,0.0,90.93916605666466,4784,1749,0,-4525.354153196351,-4525.354153196351,0.0,0.0
2031,Holistic Transition,member_06,average_wind,staggered_commissioning,0.0,0.0,90.93916605666466,4784,1749,0,-4525.354153196351,-4525.354153196351,0.0,0.0
2031,Holistic Transition,member_06,high_wind,simultaneous_commissioning,0.0,0.0,91.87261679683576,4913,1480,0,-4525.354153196352,-4525.354153196352,0.0,0.0
2031,Holistic Transition,member_06,high_wind,staggered_commissioning,0.0,0.0,91.87261679683576,4913,1480,0,-4525.354153196352,-4525.354153196352,0.0,0.0
2031,Holistic Transition,member_06,low_wind,simultaneous_commissioning,0.0,0.0,92.11382507225107,4760,1287,0,-4525.354153196351,-4525.354153196351,0.0,0.0
2031,Holistic Transition,member_06,low_wind,staggered_commissioning,0.0,0.0,92.11382507225107,4760,1287,0,-4525.354153196351,-4525.354153196351,0.0,0.0
2031,Holistic Transition,member_12,average_wind,simultaneous_commissioning,0.0,0.0,90.55729600250343,4772,1749,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_12,average_wind,staggered_commissioning,0.0,0.0,90.55729600250343,4772,1749,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_12,high_wind,simultaneous_commissioning,0.0,0.0,91.57367683033742,4944,1480,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_12,high_wind,staggered_commissioning,0.0,0.0,91.57367683033742,4944,1480,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_12,low_wind,simultaneous_commissioning,0.0,0.0,93.23104733886854,4791,1287,0,-4525.354153196348,-4525.354153196348,0.0,0.0
2031,Holistic Transition,member_12,low_wind,staggered_commissioning,0.0,0.0,93.23104733886854,4791,1287,0,-4525.354153196348,-4525.354153196348,0.0,0.0
2031,Holistic Transition,member_13,average_wind,simultaneous_commissioning,0.0,0.0,91.92012532452613,4795,1749,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_13,average_wind,staggered_commissioning,0.0,0.0,91.92012532452613,4795,1749,0,-4525.354153196349,-4525.354153196349,0.0,0.0
2031,Holistic Transition,member_13,high_wind,simultaneous_commissioning,0.0,0.0,91.3605724449154,4879,1480,0,-4525.35415319635,-4525.35415319635,0.0,0.0
2031,Holistic Transition,member_13,high_wind,staggered_commissioning,0.0,0.0,91.3605724449154,4879,1480,0,-4525.35415319635,-4525.35415319635,0.0,0.0
2031,Holistic Transition,member_13,low_wind,simultaneous_commissioning,0.0,0.0,91.8646383141446,4774,1287,0,-4525.354153196348,-4525.354153196348,0.0,0.0
2031,Holistic Transition,member_13,low_wind,staggered_commissioning,0.0,0.0,91.8646383141446,4774,1287,0,-4525.354153196348,-4525.354153196348,0.0,0.0
2032,Electric Engagement,member_06,average_wind,simultaneous_commissioning,0.0,0.0,95.58783260336826,4885,1633,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_06,average_wind,staggered_commissioning,0.0,0.0,95.58783260336826,4885,1633,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_06,high_wind,simultaneous_commissioning,0.0,0.0,98.26415961567086,4834,1397,0,-4641.950407786878,-4641.950407786878,0.0,0.0
2032,Electric Engagement,member_06,high_wind,staggered_commissioning,0.0,0.0,98.26415961567086,4834,1397,0,-4641.950407786878,-4641.950407786878,0.0,0.0
2032,Electric Engagement,member_06,low_wind,simultaneous_commissioning,0.0,0.0,97.781119297202,4808,1203,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_06,low_wind,staggered_commissioning,0.0,0.0,97.781119297202,4808,1203,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_12,average_wind,simultaneous_commissioning,0.0,0.0,96.52253735695552,4839,1633,0,-4641.950407786882,-4641.950407786882,0.0,0.0
2032,Electric Engagement,member_12,average_wind,staggered_commissioning,0.0,0.0,96.52253735695552,4839,1633,0,-4641.950407786882,-4641.950407786882,0.0,0.0
2032,Electric Engagement,member_12,high_wind,simultaneous_commissioning,0.0,0.0,98.13878446704628,4857,1397,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_12,high_wind,staggered_commissioning,0.0,0.0,98.13878446704628,4857,1397,0,-4641.95040778688,-4641.95040778688,0.0,0.0
2032,Electric Engagement,member_12,low_wind,simultaneous_commissioning,0.0,0.0,99.08727256726073,4810,1203,0,-4641.950407786882,-4641.950407786882,0.0,0.0
2032,Electric Engagement,member_12,low_wind,staggered_commissioning,0.0,0.0,99.08727256726073,4810,1203,0,-4641.950407786882,-4641.950407786882,0.0,0.0
2032,Electric Engagement,member_13,average_wind,simultaneous_commissioning,0.0,0.0,95.62439569778796,4888,1633,0,-4641.9504077868805,-4641.9504077868805,0.0,0.0
2032,Electric Engagement,member_13,average_wind,staggered_commissioning,0.0,0.0,95.62439569778796,4888,1633,0,-4641.9504077868805,-4641.9504077868805,0.0,0.0
2032,Electric Engagement,member_13,high_wind,simultaneous_commissioning,0.0,0.0,98.35251551943476,4877,1397,0,-4641.950407786878,-4641.950407786878,0.0,0.0
2032,Electric Engagement,member_13,high_wind,staggered_commissioning,0.0,0.0,98.35251551943476,4877,1397,0,-4641.950407786878,-4641.950407786878,0.0,0.0
2032,Electric Engagement,member_13,low_wind,simultaneous_commissioning,0.0,0.0,98.01943643565342,4786,1203,0,-4641.9504077868805,-4641.9504077868805,0.0,0.0
2032,Electric Engagement,member_13,low_wind,staggered_commissioning,0.0,0.0,98.01943643565342,4786,1203,0,-4641.9504077868805,-4641.9504077868805,0.0,0.0
2032,Holistic Transition,member_06,average_wind,simultaneous_commissioning,0.0,0.0,116.38780411604696,5264,1415,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_06,average_wind,staggered_commissioning,0.0,0.0,116.38780411604696,5264,1415,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_06,high_wind,simultaneous_commissioning,0.0,0.0,118.2427265889294,5344,1195,0,-7924.830644581045,-7924.830644581045,0.0,0.0
2032,Holistic Transition,member_06,high_wind,staggered_commissioning,0.0,0.0,118.2427265889294,5344,1195,0,-7924.830644581045,-7924.830644581045,0.0,0.0
2032,Holistic Transition,member_06,low_wind,simultaneous_commissioning,0.0,0.0,118.09879898795865,5184,1034,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_06,low_wind,staggered_commissioning,0.0,0.0,118.09879898795865,5184,1034,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_12,average_wind,simultaneous_commissioning,0.0,0.0,117.20792227844868,5236,1415,0,-7924.830644581041,-7924.830644581041,0.0,0.0
2032,Holistic Transition,member_12,average_wind,staggered_commissioning,0.0,0.0,117.20792227844868,5236,1415,0,-7924.830644581041,-7924.830644581041,0.0,0.0
2032,Holistic Transition,member_12,high_wind,simultaneous_commissioning,0.0,0.0,117.87632179007056,5349,1195,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_12,high_wind,staggered_commissioning,0.0,0.0,117.87632179007056,5349,1195,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_12,low_wind,simultaneous_commissioning,0.0,0.0,119.17246038930878,5190,1034,0,-7924.830644581041,-7924.830644581041,0.0,0.0
2032,Holistic Transition,member_12,low_wind,staggered_commissioning,0.0,0.0,119.17246038930878,5190,1034,0,-7924.830644581041,-7924.830644581041,0.0,0.0
2032,Holistic Transition,member_13,average_wind,simultaneous_commissioning,0.0,0.0,116.60940680709108,5250,1415,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_13,average_wind,staggered_commissioning,0.0,0.0,116.60940680709108,5250,1415,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_13,high_wind,simultaneous_commissioning,0.0,0.0,118.49001847410656,5329,1195,0,-7924.830644581045,-7924.830644581045,0.0,0.0
2032,Holistic Transition,member_13,high_wind,staggered_commissioning,0.0,0.0,118.49001847410656,5329,1195,0,-7924.830644581045,-7924.830644581045,0.0,0.0
2032,Holistic Transition,member_13,low_wind,simultaneous_commissioning,0.0,0.0,118.289050993861,5139,1034,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2032,Holistic Transition,member_13,low_wind,staggered_commissioning,0.0,0.0,118.289050993861,5139,1034,0,-7924.830644581043,-7924.830644581043,0.0,0.0
2033,Electric Engagement,member_06,average_wind,simultaneous_commissioning,0.0,0.0,106.7469667077374,4908,1440,0,-5585.942052739723,-5585.942052739723,0.0,0.0
2033,Electric Engagement,member_06,average_wind,staggered_commissioning,0.0,0.0,106.7469667077374,4908,1440,0,-5585.942052739723,-5585.942052739723,0.0,0.0
2033,Electric Engagement,member_06,high_wind,simultaneous_commissioning,0.0,0.0,109.6680268373952,4874,1202,0,-5585.942052739718,-5585.942052739718,0.0,0.0
2033,Electric Engagement,member_06,high_wind,staggered_commissioning,0.0,0.0,109.6680268373952,4874,1202,0,-5585.942052739718,-5585.942052739718,0.0,0.0
2033,Electric Engagement,member_06,low_wind,simultaneous_commissioning,0.0,0.0,108.45332479364308,4808,1038,0,-5585.9420527397215,-5585.9420527397215,0.0,0.0
2033,Electric Engagement,member_06,low_wind,staggered_commissioning,0.0,0.0,108.45332479364308,4808,1038,0,-5585.9420527397215,-5585.9420527397215,0.0,0.0
2033,Electric Engagement,member_12,average_wind,simultaneous_commissioning,0.0,0.0,105.7651125440589,4930,1440,0,-5585.942052739726,-5585.942052739726,0.0,0.0
2033,Electric Engagement,member_12,average_wind,staggered_commissioning,0.0,0.0,105.7651125440589,4930,1440,0,-5585.942052739726,-5585.942052739726,0.0,0.0
2033,Electric Engagement,member_12,high_wind,simultaneous_commissioning,0.0,0.0,107.82740595868488,4868,1202,0,-5585.942052739721,-5585.942052739721,0.0,0.0
2033,Electric Engagement,member_12,high_wind,staggered_commissioning,0.0,0.0,107.82740595868488,4868,1202,0,-5585.942052739721,-5585.942052739721,0.0,0.0
2033,Electric Engagement,member_12,low_wind,simultaneous_commissioning,0.0,0.0,109.78671430604166,4824,1038,0,-5585.942052739724,-5585.942052739724,0.0,0.0
2033,Electric Engagement,member_12,low_wind,staggered_commissioning,0.0,0.0,109.78671430604166,4824,1038,0,-5585.942052739724,-5585.942052739724,0.0,0.0
2033,Electric Engagement,member_13,average_wind,simultaneous_commissioning,0.0,0.0,104.37320860459477,4971,1440,0,-5585.942052739725,-5585.942052739725,0.0,0.0
2033,Electric Engagement,member_13,average_wind,staggered_commissioning,0.0,0.0,104.37320860459477,4971,1440,0,-5585.942052739725,-5585.942052739725,0.0,0.0
2033,Electric Engagement,member_13,high_wind,simultaneous_commissioning,0.0,0.0,107.5928107689513,4922,1202,0,-5585.94205273972,-5585.94205273972,0.0,0.0
