fes_scenario,climate_member,weather_year_role,smr_case,cumulative_smr_energy_twh,cumulative_gas_displacement_twh,cumulative_surplus_energy_twh,total_surplus_hours,total_low_wind_hours,total_low_wind_support_hours,average_residual_before_mw,average_residual_after_mw,average_residual_demand_reduction_mw,average_gas_displacement_proxy_mw
Holistic Transition,member_06,low_wind,staggered_commissioning,117.94791,51.88852203848925,2331.0037956610904,80682,11026,5364,-8287.494567875883,-9128.441907027149,840.9473391512663,369.95580965156034
Holistic Transition,member_12,average_wind,simultaneous_commissioning,129.6636,55.90786990145338,2297.8176487588153,81633,16108,8516,-8287.494567875883,-9211.972665069585,924.478097193703,398.6130354598262
Holistic Transition,member_12,average_wind,staggered_commissioning,117.94791,51.52829818506392,2290.4815304752046,81483,16108,8500,-8287.494567875883,-9128.441907027149,840.9473391512663,367.3874785040492
Holistic Transition,member_12,high_wind,simultaneous_commissioning,129.6636,53.54823655620298,2312.5578231189106,83919,12889,6551,-8287.494567875883,-9211.972665069588,924.478097193703,381.78927501285494
Holistic Transition,member_12,high_wind,staggered_commissioning,117.94791,49.35764478133277,2305.0327248937806,83795,12889,6533,-8287.494567875883,-9128.44190702715,840.9473391512663,351.91111097801723
Holistic Transition,member_12,low_wind,simultaneous_commissioning,129.6636,55.87477865264832,2353.017801539487,81053,11026,5350,-8287.494567875883,-9211.972665069585,924.478097193703,398.37710082027377
Holistic Transition,member_12,low_wind,staggered_commissioning,117.94791,51.572859098771445,2345.604031093365,80891,11026,5343,-8287.494567875883,-9128.441907027149,840.9473391512663,367.70518978704257
Holistic Transition,member_13,average_wind,simultaneous_commissioning,129.6636,55.884910795130665,2308.4957160619424,81654,16108,8576,-8287.494567875883,-9211.972665069585,924.478097193703,398.449341169937
Holistic Transition,member_13,average_wind,staggered_commissioning,117.94791,51.55388755639637,2301.1110493006768,81520,16108,8560,-8287.494567875883,-9128.441907027149,840.9473391512663,367.569926109374
Holistic Transition,member_13,high_wind,simultaneous_commissioning,129.6636,53.88554467183446,2319.443603321503,83498,12889,6571,-8287.494567875883,-9211.972665069585,924.478097193703,384.1942210802708
Holistic Transition,member_13,high_wind,staggered_commissioning,117.94791,49.69986440843691,2311.9135935849004,83370,12889,6553,-8287.494567875883,-9128.441907027149,840.9473391512663,354.3510752369732
Holistic Transition,member_13,low_wind,simultaneous_commissioning,129.6636,56.14289056210489,2341.4255973304676,80749,11026,5370,-8287.494567875883,-9211.972665069585,924.478097193703,400.2886904097143
Holistic Transition,member_13,low_wind,staggered_commissioning,117.94791,51.81359405814095,2334.0392038344316,80588,11026,5363,-8287.494567875883,-9128.441907027149,840.9473391512663,369.4215866568342
