date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-02-14,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-02-14,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-04-18,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-09-02,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-09-02,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-09-02,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-09-02,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-02-12,Electric Engagement,member_06,32430.0,10340.0,22090.0
2035-09-02,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-04-18,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-06-25,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-04-18,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-01-23,Holistic Transition,member_12,32900.0,10810.0,22090.0
2035-01-23,Electric Engagement,member_13,32900.0,10810.0,22090.0
2035-01-23,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-01-23,Electric Engagement,member_06,32900.0,10810.0,22090.0
2035-06-21,Holistic Transition,member_12,32900.0,10810.0,22090.0
2035-06-21,Holistic Transition,member_06,32900.0,10810.0,22090.0
2035-06-21,Electric Engagement,member_13,32900.0,10810.0,22090.0
2035-06-21,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-06-21,Electric Engagement,member_06,32900.0,10810.0,22090.0
2035-05-01,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-05-01,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-05-01,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-07-23,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-05-05,Electric Engagement,member_13,32900.0,10810.0,22090.0
2035-05-05,Holistic Transition,member_06,32900.0,10810.0,22090.0
2035-05-05,Holistic Transition,member_12,32900.0,10810.0,22090.0
2035-05-05,Holistic Transition,member_13,32900.0,10810.0,22090.0
2035-12-21,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-12-21,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-12-21,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-12-21,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-05-23,Holistic Transition,member_13,32900.0,10810.0,22090.0
2035-05-23,Electric Engagement,member_06,32900.0,10810.0,22090.0
2035-05-23,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-01-23,Holistic Transition,member_06,32900.0,10810.0,22090.0
2035-05-05,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-01-23,Holistic Transition,member_13,32900.0,10810.0,22090.0
2035-01-24,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-07-23,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-06-25,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-06-25,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-06-25,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-06-25,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-06-21,Holistic Transition,member_13,32900.0,10810.0,22090.0
2035-01-24,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-01-24,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-06-25,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-01-24,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-07-23,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-01-24,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-01-24,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-08-08,Holistic Transition,member_13,33343.883,11280.0,22063.883
2035-07-23,Electric Engagement,member_12,33096.297,11280.0,21816.297
2035-10-14,Holistic Transition,member_12,32516.855,10810.0,21706.855
2035-05-22,Holistic Transition,member_13,32900.0,11280.0,21620.0
2035-05-21,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-05-20,Holistic Transition,member_12,32900.0,11280.0,21620.0
2035-05-20,Holistic Transition,member_13,32900.0,11280.0,21620.0
2035-05-21,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-05-22,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-05-21,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-05-21,Holistic Transition,member_12,32900.0,11280.0,21620.0
2035-05-21,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-05-21,Holistic Transition,member_13,32900.0,11280.0,21620.0
2035-05-22,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-05-22,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-05-22,Holistic Transition,member_12,32900.0,11280.0,21620.0
2035-05-22,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-05-20,Electric Engagement,member_13,32900.0,11280.0,21620.0
2035-05-20,Holistic Transition,member_06,32900.0,11280.0,21620.0
2035-05-18,Holistic Transition,member_12,32430.0,10810.0,21620.0
2035-05-20,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-02-22,Electric Engagement,member_06,31960.0,10340.0,21620.0
2035-04-09,Electric Engagement,member_06,32900.0,11280.0,21620.0
2035-04-09,Electric Engagement,member_12,32900.0,11280.0,21620.0
2035-04-09,Electric Engagement,member_13,32900.0,11280.0,21620.0
